feature,used_for_kmeans,used_for_models,label
Q12A_1,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_1) 정보 및 뉴스 검색"
Q12A_2,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_2) 이메일"
Q12A_3,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_3) 미디어콘텐츠(영화/음악/전자책 등)"
Q12A_4,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_4) 교육콘텐츠(각종 강좌/강의수강 등)"
Q12B_1,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_모바일_1) 정보 및 뉴스 검색"
Q12B_2,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_모바일_2) 이메일"
Q12B_3,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_모바일_3) 미디어콘텐츠(영화/음악/전자책 등)"
Q12B_4,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_모바일_4) 교육콘텐츠(각종 강좌/강의수강 등)"
Q13A_1,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_PC_1) SNS
Q13A_2,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_PC_2) 메신저
Q13A_3,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_PC_3) 개인 블로그
Q13A_4,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_PC_4) 커뮤니티
Q13A_5,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_PC_5) 클라우드 서비스
Q13B_1,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_모바일_1) SNS
Q13B_2,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_모바일_2) 메신저
Q13B_3,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_모바일_3) 개인 블로그
Q13B_4,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_모바일_4) 커뮤니티
Q13B_5,TRUE,TRUE,문13. 사회적 관계 서비스 이용 비율_모바일_5) 클라우드 서비스
Q14A_1,TRUE,TRUE,문14. 생활 서비스 이용 비율_PC_1) 생활정보서비스
Q14A_2,TRUE,TRUE,문14. 생활 서비스 이용 비율_PC_2) 전자상거래서비스
Q14A_3,TRUE,TRUE,문14. 생활 서비스 이용 비율_PC_3) 금융거래서비스
Q14A_4,TRUE,TRUE,문14. 생활 서비스 이용 비율_PC_4) 공공서비스
Q14A_5,TRUE,TRUE,문14. 생활 서비스 이용 비율_PC_5) 디지털헬스케어서비스
Q14B_1,TRUE,TRUE,문14. 생활 서비스 이용 비율_모바일_1) 생활정보서비스
Q14B_2,TRUE,TRUE,문14. 생활 서비스 이용 비율_모바일_2) 전자상거래서비스
Q14B_3,TRUE,TRUE,문14. 생활 서비스 이용 비율_모바일_3) 금융거래서비스
Q14B_4,TRUE,TRUE,문14. 생활 서비스 이용 비율_모바일_4) 공공서비스
Q14B_5,TRUE,TRUE,문14. 생활 서비스 이용 비율_모바일_5) 디지털헬스케어서비스
Q15A_1,TRUE,TRUE,문15. 정보생산 공유 비율_PC_1) 직접 만들거나 다른 사람이 만든 것을 수정/편집한 콘텐츠
Q15A_2,TRUE,TRUE,문15. 정보생산 공유 비율_PC_2) 인터넷에서 본 콘텐츠(정보/지식/뉴스/동영상/사진 등)를 올리거나 링크를 공유한 적이 있다
Q15B_1,TRUE,TRUE,문15. 정보생산 공유 비율_모바일_1) 직접 만들거나 다른 사람이 만든 것을 수정/편집한 콘텐츠
Q15B_2,TRUE,TRUE,문15. 정보생산 공유 비율_모바일_2) 인터넷에서 본 콘텐츠(정보/지식/뉴스/동영상/사진 등)를 올리거나 링크를 공유한 적이 있다
Q16A_1,TRUE,TRUE,문16. 네트워킹 비율_PC_1) 나는 기존에 알던 사람들과 관계를 유지하고 더 친밀해지기 위해서 인터넷을 이용한 적이 있다
Q16A_2,TRUE,TRUE,문16. 네트워킹 비율_PC_2) 나는 새로운 사람들을 알게 되고 소통하기 위해 인터넷을 이용한 적이 있다
Q16B_1,TRUE,TRUE,문16. 네트워킹 비율_모바일_1) 나는 기존에 알던 사람들과 관계를 유지하고 더 친밀해지기 위해서 인터넷을 이용한 적이 있다
Q16B_2,TRUE,TRUE,문16. 네트워킹 비율_모바일_2) 나는 새로운 사람들을 알게 되고 소통하기 위해 인터넷을 이용한 적이 있다
Q17A_1,TRUE,TRUE,"문17. 사회참여 비율_PC_1) 나는 인터넷을 통해 사회적 관심사(공공이슈)에 대해 의견 표명을 한 적이 있다 (댓글 작성, 게시판 글 게시, 토론 등)"
Q17A_2,TRUE,TRUE,"문17. 사회참여 비율_PC_2) 나는 인터넷을 통해 정부/지자체/공공기관에 정책제안이나 건의, 정책평가, 민원제기 등을 한 적이 있다"
Q17A_3,TRUE,TRUE,문17. 사회참여 비율_PC_3) 나는 인터넷을 통해 기부(금전/재능)나 봉사 활동을 한 적이 있다
Q17A_4,TRUE,TRUE,"문17. 사회참여 비율_PC_4) 나는 인터넷을 통해 온라인 투표나 여론조사, 서명 등에 참여한 적이 있다"
Q17B_1,TRUE,TRUE,"문17. 사회참여 비율_모바일_1) 나는 인터넷을 통해 사회적 관심사(공공이슈)에 대해 의견 표명을 한 적이 있다 (댓글 작성, 게시판 글 게시, 토론 등)"
Q17B_2,TRUE,TRUE,"문17. 사회참여 비율_모바일_2) 나는 인터넷을 통해 정부/지자체/공공기관에 정책제안이나 건의, 정책평가, 민원제기 등을 한 적이 있다"
Q17B_3,TRUE,TRUE,문17. 사회참여 비율_모바일_3) 나는 인터넷을 통해 기부(금전/재능)나 봉사 활동을 한 적이 있다
Q17B_4,TRUE,TRUE,"문17. 사회참여 비율_모바일_4) 나는 인터넷을 통해 온라인 투표나 여론조사, 서명 등에 참여한 적이 있다"
Q18A_1,TRUE,TRUE,문18. 경제활동 비율_PC_1) 나는 인터넷을 통해 취업이나 이직(승진)에 도움이 되는 활동을 한 적이 있다
Q18A_2,TRUE,TRUE,"문18. 경제활동 비율_PC_2) 나는 인터넷을 통해 창업이나 사업에 도움이 되는 마케팅 활동(홍보, 광고, 판촉, 프로모션 등)을 한 적이 있다"
Q18A_3,TRUE,TRUE,"문18. 경제활동 비율_PC_3) 나는 인터넷을 통해 소득증대(유지)에 도움이 되는 관련 정보검색/습득, 재테크 등의 활동을 한 적이 있다"
Q18A_4,TRUE,TRUE,"문18. 경제활동 비율_PC_4) 나는 인터넷을 통해 비용절감에 도움이 되는 활동(공동구매, 해외직접구매, 가격비교 등)을 한 적이 있다"
Q18B_1,TRUE,TRUE,문18. 경제활동 비율_모바일_1) 나는 인터넷을 통해 취업이나 이직(승진)에 도움이 되는 활동을 한 적이 있다
Q18B_2,TRUE,TRUE,"문18. 경제활동 비율_모바일_2) 나는 인터넷을 통해 창업이나 사업에 도움이 되는 마케팅 활동(홍보, 광고, 판촉, 프로모션 등)을 한 적이 있다"
Q18B_3,TRUE,TRUE,"문18. 경제활동 비율_모바일_3) 나는 인터넷을 통해 소득증대(유지)에 도움이 되는 관련 정보검색/습득, 재테크 등의 활동을 한 적이 있다"
Q18B_4,TRUE,TRUE,"문18. 경제활동 비율_모바일_4) 나는 인터넷을 통해 비용절감에 도움이 되는 활동(공동구매, 해외직접구매, 가격비교 등)을 한 적이 있다"
Q19_1,TRUE,TRUE,문19. 심화 디지털 기술 서비스 이용 비율_1) 생성형 AI 서비스
Q19_2,TRUE,TRUE,문19. 심화 디지털 기술 서비스 이용 비율_2) 블록체인 기반 서비스
Q19_3,TRUE,TRUE,문19. 심화 디지털 기술 서비스 이용 비율_3) 사물인터넷 기반 서비스
Q19_4,TRUE,TRUE,문19. 심화 디지털 기술 서비스 이용 비율_4) 가상/증강현실 적용 서비스
Q19_5,TRUE,TRUE,문19. 심화 디지털 기술 서비스 이용 비율_5) 터치스크린 기반 무인정보단말기(키오스크)
Q20_1,FALSE,FALSE,문20. 사회적 자본 관련_1) 사람들 중에 내 문제를 해결하는 데 도움을 줄 수 있는 사람이 있다
Q20_2,FALSE,FALSE,문20. 사회적 자본 관련_2) 사람들 중에 매우 중요한 결정을 내릴 때 조언을 구할 수 있는 사람이 있다
Q20_3,FALSE,FALSE,문20. 사회적 자본 관련_3) 사람들 중에 긴밀한 사적인 문제에 대해 편안하게 이야기를 나눌 사람이 있다
Q20_4,FALSE,FALSE,문20. 사회적 자본 관련_4) 사람들 중에 나의 중요한 일을 맡길 수 있는 사람이 있다
