Model,Accuracy,F1_macro,Recall_2단계,Delta_Accuracy,Delta_F1_macro,Delta_Recall_2단계
Stage1 MLP,0.9746290090952608,0.9750665257179555,0.9594190516873131,,,
Two-Stage (Boundary Reclass),0.993457794798149,0.9934668169619328,0.9867577958137548,0.01882878570288815,0.01840029124397735,0.02733874412644166
