feature,coef_mean,perm_imp
Q10,3.932639761193167,0.017203960944665066
Q8_3,0.845463789108552,0.007506534296406098
Q7_3,0.7363017177738936,0.007492313014600294
Q14A_4,0.9281600469395892,0.007341231316532537
Q9_2,0.978299851171462,0.006838415576020529
Q13A_2,1.0261480288918923,0.006653621892370054
Q6_5,0.8494678137994877,0.006387331879842495
Q6_6,0.8840985020074941,0.006201699360437529
Q6_1,0.8677593250213818,0.005988384863690877
Q8_4,0.8659020810198635,0.005845630327379803
Q6_7,0.8304044528943363,0.005833821053366006
Q13A_4,0.8704652519984726,0.005758376309327351
Q14A_1,0.7852553942416706,0.00568330150580435
Q7_5,0.6794023138131134,0.00552433590146989
Q8_5,0.8617823471439244,0.0055089677872112944
Q15A_1,0.8511243702875566,0.005450888287808986
Q18A_1,0.8822192429349188,0.00542511622427917
Q9_7,0.7157792946728124,0.0054007200941255775
Q16A_1,0.6472678058044387,0.005360570561616496
Q6_4,0.8607147546663495,0.005338308680894033
Q9_4,0.8211850700782058,0.0052610325266241875
Q14A_3,0.7181403543370809,0.0052368100425845944
Q7_7,0.7760547325702921,0.005215266024613308
Q17A_4,0.6380035247643646,0.005209430726793108
Q9_3,0.7415005591149693,0.004964304825981936
Q9_6,0.8021066954137589,0.004910366412249711
Q12A_3,0.7391957934769259,0.004898850117544318
Q17A_1,0.8130961459797902,0.004816597715844084
Q9_8,0.7996620097975625,0.004784630364288378
Q12A_2,0.6736411312886581,0.004742422767346699
Q7_6,0.5901773079380676,0.0047409145041663716
Q9_1,0.8565548717969861,0.004697955998947845
Q8_9,0.7035365201174278,0.004656024435789286
Q8_6,0.7499524832588195,0.004618937097769638
Q8_2,0.7707675536909964,0.004601855737184368
Q8_1,0.6138650053880261,0.0045529160741674905
Q12A_1,0.8132200713398429,0.004530166236966326
Q16A_2,0.8034327888122421,0.0044533065208961385
Q13B_5,0.7477602263646205,0.004360771068926983
Q7_1,0.7125998020140761,0.004292450712683793
Q17A_2,0.6981852765832327,0.00426897836308654
Q15B_1,0.7263042504217947,0.004248815051264554
Q13A_1,0.7587610071773989,0.004222035054510953
Q17B_3,0.5118638667175771,0.004196806751446647
Q17A_3,0.5717137812363798,0.004166230440762753
Q6_3,0.6415447244842599,0.004163931186346748
Q18A_4,0.7226414929945862,0.004134140067280656
Q7_2,0.5867837123023317,0.004099980858263496
Q14B_2,0.5971953482449621,0.004062523059544032
Q12A_4,0.5670240578665454,0.004041999304091026
Q6_2,0.6526087469172944,0.004027839855651449
Q14A_5,0.5816829574076838,0.003970524606755776
Q14A_2,0.6066107959657925,0.0038471371233082087
Q15A_2,0.645531491962283,0.003805798227748192
Q13B_1,0.500769597689514,0.0037354086194418268
Q18B_3,0.5496047294950285,0.003717262894574913
Q9_5,0.6951204237740235,0.003704354182685987
Q18B_1,0.6369543637614599,0.0036748740140737147
Q18A_3,0.6617677464842814,0.003607464376911629
Q13A_3,0.6134773480871077,0.0035904485911645743
Q13A_5,0.6283707330388234,0.0035787849989871055
Q18B_2,0.5670373166730821,0.0035367274240277967
Q5_1,0.6614948061345551,0.0034551516272860903
AI_도움정도,0.5897999289240773,0.003432704103422268
Q17B_2,0.5277586929170858,0.003425222209983003
Q19_4,0.5808888699448325,0.003346699804727371
Q17B_1,0.4597924564144577,0.0032898148338561194
Q7_4,0.6269349678860993,0.0032538849201557475
Q12B_2,0.610505669574986,0.003157986520712608
Q8_8,0.5493348551894568,0.0031536426714589894
Q18A_2,0.5040496388127126,0.00310418909409802
Q12B_4,0.5009937094554435,0.003102546001153772
Q16B_2,0.5826216139679867,0.0030125804248316234
AI_사용빈도,0.6594184483873605,0.002959219528008894
Q12B_3,0.44750104597858753,0.0028710878911265337
Q11_1,0.5186428421683992,0.002797461547868052
Q9_9,0.6129971706938547,0.0027814611811843417
Q13B_3,0.5404760008370109,0.002753601959925378
Q19_3,0.5725648669450969,0.0025565906170966213
Q18B_4,0.5066254720352213,0.002534421560589184
Q8_7,0.5071059950338052,0.0025329666100381786
Q19_1,0.5408129431852574,0.0024850827153800824
Q12B_1,0.43225848651019505,0.0024454492801290863
Q13B_2,0.42166089733223194,0.0024067683706362588
Q14B_4,0.47302226163523536,0.0023845984077695004
Q17B_4,0.461781765618891,0.0023835734400254214
Q14B_1,0.34289817819423535,0.002287573859567282
Q14B_5,0.5293921336359446,0.002214094625806795
Q15B_2,0.5446045818344051,0.002015395364089345
Q19_2,0.452576209762821,0.0020046345456055546
Q11_2,0.3364140635161578,0.001956228383808012
Q2K2_1,0.4512699193125176,0.0019428144174517548
AI_인지,0.5048781633752509,0.0018012036329174363
Q1_1,0.2913864489735355,0.0017669290374895286
Q13B_4,0.44442741004459535,0.001753621218535295
Q19_5,0.4775706226942346,0.0017193349370208777
Q2K2_2,0.432784340067992,0.0016612229129436163
Q4B_1_1,0.2919110614154814,0.0016241097843813113
Q14B_3,0.5127935407380573,0.0015460874389174762
Q16B_1,0.4081043378898637,0.0012262181090735291
Q1_2,0.3452248312365702,0.001198656603468684
