feature,perm_importance,perm_std
Q10,0.017203960944665066,0.0010341863579976756
Q8_3,0.007506534296406098,0.0005070537059319839
Q7_3,0.007492313014600294,0.0010321367501190761
Q14A_4,0.007341231316532537,0.0008022001248444338
Q9_2,0.006838415576020529,0.0008655896231559218
Q13A_2,0.006653621892370054,0.0009645772048318646
Q6_5,0.006387331879842495,0.000883081484882772
Q6_6,0.006201699360437529,0.0008425494244186524
Q6_1,0.005988384863690877,0.0006824096222833725
Q8_4,0.005845630327379803,0.0007847729113502782
Q6_7,0.005833821053366006,0.0008050504177649679
Q13A_4,0.005758376309327351,0.0007783793349382608
Q14A_1,0.00568330150580435,0.0008706252569179446
Q7_5,0.00552433590146989,0.0006232440061198645
Q8_5,0.0055089677872112944,0.0008507585860386062
Q15A_1,0.005450888287808986,0.0013841206193355418
Q18A_1,0.00542511622427917,0.0005957186917729966
Q9_7,0.0054007200941255775,0.00045365484080241196
Q16A_1,0.005360570561616496,0.0009309894948685149
Q6_4,0.005338308680894033,0.0005850332664444044
Q9_4,0.0052610325266241875,0.000916416221171736
Q14A_3,0.0052368100425845944,0.0010263929958216403
Q7_7,0.005215266024613308,0.0007609093820843927
Q17A_4,0.005209430726793108,0.0008905335992873981
Q9_3,0.004964304825981936,0.0007240909722387419
Q9_6,0.004910366412249711,0.0011069610329453095
Q12A_3,0.004898850117544318,0.0008603030946324959
Q17A_1,0.004816597715844084,0.0008356930502311123
Q9_8,0.004784630364288378,0.0010406685943635105
Q12A_2,0.004742422767346699,0.0006086889153456599
Q7_6,0.0047409145041663716,0.0007084376755013154
Q9_1,0.004697955998947845,0.0007755506565394802
Q8_9,0.004656024435789286,0.0007578853893526893
Q8_6,0.004618937097769638,0.0008985432353251631
Q8_2,0.004601855737184368,0.0005954798476477163
Q8_1,0.0045529160741674905,0.0005043959770801313
Q12A_1,0.004530166236966326,0.0008816420420037228
Q16A_2,0.0044533065208961385,0.0008279323273526953
Q13B_5,0.004360771068926983,0.0009801058382742792
Q7_1,0.004292450712683793,0.0005955154925136095
Q17A_2,0.00426897836308654,0.0006093861738914477
Q15B_1,0.004248815051264554,0.0004091779530538652
Q13A_1,0.004222035054510953,0.0005682169175362835
Q17B_3,0.004196806751446647,0.00039302605197772517
Q17A_3,0.004166230440762753,0.0005770304241687838
Q6_3,0.004163931186346748,0.0009294060448762551
Q18A_4,0.004134140067280656,0.0007402975755393332
Q7_2,0.004099980858263496,0.0004960527430127276
Q14B_2,0.004062523059544032,0.0006600166323911663
Q12A_4,0.004041999304091026,0.00032548193062895397
Q6_2,0.004027839855651449,0.0006271064576539607
Q14A_5,0.003970524606755776,0.0008718399922589432
Q14A_2,0.0038471371233082087,0.0004963874604844666
Q15A_2,0.003805798227748192,0.0006701935214461707
Q13B_1,0.0037354086194418268,0.0006327411593739716
Q18B_3,0.003717262894574913,0.0006104297324003118
Q9_5,0.003704354182685987,0.0009831278163344084
Q18B_1,0.0036748740140737147,0.0004889502503504122
Q18A_3,0.003607464376911629,0.0008436066643115213
Q13A_3,0.0035904485911645743,0.0007724317596160549
Q13A_5,0.0035787849989871055,0.0003880871742381684
Q18B_2,0.0035367274240277967,0.0005572314923186099
Q5_1,0.0034551516272860903,0.0006337600725470606
AI_도움정도,0.003432704103422268,0.0012110997574951452
Q17B_2,0.003425222209983003,0.0007495251808853339
Q19_4,0.003346699804727371,0.0005673719711399794
Q17B_1,0.0032898148338561194,0.00047890508165156025
Q7_4,0.0032538849201557475,0.0006708674147829145
Q12B_2,0.003157986520712608,0.0005158910466718713
Q8_8,0.0031536426714589894,0.0004722765094055422
Q18A_2,0.00310418909409802,0.0007276047806999544
Q12B_4,0.003102546001153772,0.0005026880080474708
Q16B_2,0.0030125804248316234,0.0004342761520708908
AI_사용빈도,0.002959219528008894,0.00047495036391302073
Q12B_3,0.0028710878911265337,0.0005869085313769275
Q11_1,0.002797461547868052,0.0006131497497067158
Q9_9,0.0027814611811843417,0.000481277672569851
Q13B_3,0.002753601959925378,0.0004529187414625928
Q19_3,0.0025565906170966213,0.0008030953385566239
Q18B_4,0.002534421560589184,0.0005158617627116161
Q8_7,0.0025329666100381786,0.0004965078850199677
Q19_1,0.0024850827153800824,0.0006577558090084744
Q12B_1,0.0024454492801290863,0.0005191385292237116
Q13B_2,0.0024067683706362588,0.0005120007052483743
Q14B_4,0.0023845984077695004,0.00038672996720928965
Q17B_4,0.0023835734400254214,0.0006126622832700061
Q14B_1,0.002287573859567282,0.00029620341338445447
Q14B_5,0.002214094625806795,0.0006713276023537335
Q15B_2,0.002015395364089345,0.0005684934610707641
Q19_2,0.0020046345456055546,0.0004550720904506855
Q11_2,0.001956228383808012,0.00038490950082029426
Q2K2_1,0.0019428144174517548,0.00042059849168709154
AI_인지,0.0018012036329174363,0.0005904747224004949
Q1_1,0.0017669290374895286,0.00032699252958512485
Q13B_4,0.001753621218535295,0.0007167454121687254
Q19_5,0.0017193349370208777,0.0005815476676986188
Q2K2_2,0.0016612229129436163,0.0004188002474409793
Q4B_1_1,0.0016241097843813113,0.0004949583791491788
Q14B_3,0.0015460874389174762,0.0005159529125014469
Q16B_1,0.0012262181090735291,0.0005432016057677583
Q1_2,0.001198656603468684,0.0004595608458777379
Q4C_2,0.0010474547129219359,0.0005680943387623287
Q11_3,0.000994666391983412,0.0004979484612812518
Q4C_1,0.0008505616404166694,0.00046120259797048364
Q4B_2_1,0.0008434421184016161,0.00039708548019096553
Q5_5,0.000791533165213365,0.0003066434626880825
Q22_1,0.0007257831079441557,0.0002679953354591403
Q21_1,0.0006736029086919059,0.00016726596474333472
Q21_3,0.0005038672439679592,0.00023034872909078274
Q22_3,0.0003727962671196572,0.0003053354729465528
Q5_3,0.0002926775774061641,0.00019657496291309117
Q3,0.00028591643700860426,0.00018189418675211433
Q5_2,0.00018591946820616377,0.0003778528065070081
Q21_4,0.00015307243082104404,0.00018041418836486976
Q5_4,0.00014607597396613104,0.00013056692951102006
Q22_4,0.00012174504477900916,0.00019111110457742343
Q22_2,1.9671815351496313e-05,0.0001591216404959834
Q21_2,-1.7125092869352267e-05,0.00010955622714287025
