C,mean_f1_macro,std_f1_macro,rank
0.01,0.9363809162247536,0.0030651927679590726,12
0.01,0.9549620203044684,0.003366550617369884,11
0.1,0.9588319590420991,0.0019205851103602214,10
0.1,0.9759434384711042,0.0024071497316052065,9
1.0,0.9784398708779352,0.0021318422676908128,8
1.0,0.9874931541654689,0.0010942648547520562,7
10.0,0.9881309246164772,0.0016424310737955296,6
10.0,0.992116541834735,0.0008445594387530078,3
100.0,0.9897357870947875,0.0016969147936971814,5
100.0,0.9926171144826459,0.0011479049926282248,2
1000.0,0.9906091359010694,0.0011984399223223246,4
1000.0,0.9927223735067268,0.0014875817220103508,1
