k,train_inertia,train_silhouette_sample,min_cluster_size_train,max_cluster_size_train,selection_scope
2,1501907.5418319353,0.24046557054022497,8534,10265,train_only
3,1344407.6616331793,0.15498514124220628,5037,7081,train_only
4,1277532.681856269,0.10933479699100894,3528,5900,train_only
5,1238779.425082747,0.09178505755362262,1455,5774,train_only
6,1205106.2104010805,0.08324812727934479,1413,4629,train_only
