feature,mean_train,scale_train,var_train
Q1_1,0.4779509548380233,0.49951360302542824,0.24951383960744514
Q1_2,0.3366136496622161,0.4725514792308865,0.2233049005232989
Q2K2_1,0.2462896962604394,0.4308492564417164,0.18563108177637988
Q2K2_2,0.20687270599499974,0.4050634388701431,0.16407638950930617
Q3,0.9992020852172988,0.028236113661422216,0.0007972781147007543
Q4B_1_1,0.4060854300760679,0.49110085884266463,0.24118005355600283
Q4B_2_1,0.29522846959944676,0.4561453938575017,0.20806862033741536
Q4C_1,2.716421086227991,0.7089752665242159,0.5026459285430831
Q4C_2,2.6870578222245864,0.7433575980280638,0.5525805185460525
Q5_1,2.516729613277302,0.8933348525115662,0.7980471587118617
Q5_2,2.7281238363742752,0.8916347626768335,0.7950125500137731
Q5_3,2.470876110431406,0.9038517347588462,0.8169479584265755
Q5_4,2.6365232193201766,0.9621642525119568,0.9257600488118926
Q5_5,1.8378637161551146,0.8625960532019395,0.7440719509995632
Q6_1,2.305441778818022,1.0696812391564172,1.1442179534032084
Q6_2,2.361029842012873,1.122780342141664,1.2606356966997518
Q6_3,2.2170860152135754,1.0800964934323793,1.1666084351249217
Q6_4,2.347944039576573,1.1134176286289772,1.2396988157417752
Q6_5,2.409862226714187,1.1298721485345151,1.2766110720340014
Q6_6,2.121229852651737,1.0604054229063187,1.1244596609291286
Q6_7,2.225065163040587,1.0719811257545053,1.1491435339738965
Q7_1,2.89648385552423,0.931237588416397,0.8672034460795869
Q7_2,2.8660035108250437,1.023669628161869,1.0478995076210589
Q7_3,2.5710942071386778,1.0758443006348195,1.1574409592084238
Q7_4,2.9359540401085162,0.9980269024320529,0.9960576979781186
Q7_5,2.735517846693973,1.0379519543164077,1.0773442594692502
Q7_6,2.3851268684504494,1.0372005401555169,1.0757849604988958
Q7_7,2.562210755891271,1.021316359808949,1.0430871068134027
Q8_1,2.6912069790946327,0.9672672659657952,0.9356059638089442
Q8_2,2.2700143624660885,1.0543859467856593,1.1117297247790912
Q8_3,2.3680514921006437,1.0368612313891936,1.075081213157915
Q8_4,2.3489015373158146,1.0331634503202745,1.0674267150776942
Q8_5,2.3059737220064895,1.034127975014106,1.0694206687067753
Q8_6,2.743922549071759,1.0458717477347765,1.0938477127097959
Q8_7,3.0215968934517794,0.917387399922868,0.8415996415372402
Q8_8,2.8143518272248524,0.999816140260805,0.9996323143260137
Q8_9,2.787329113250705,0.972840986939967,0.9464195858703291
Q9_1,2.5151869780307465,0.9515474395968385,0.9054425298032991
Q9_2,2.3781052183626787,1.0228109538654233,1.046142247347097
Q9_3,2.3484759827650405,1.0299554484563371,1.0608082258048945
Q9_4,2.2784722591627213,1.0254280171708878,1.0515026183990186
Q9_5,2.244693866695037,1.00497216491185,1.0099690522476106
Q9_6,2.159689345177935,0.9720442775095197,0.9448700774390041
Q9_7,2.3979466992925156,1.0027347239276068,1.0054769265701737
Q9_8,2.221926698228629,0.9558619672197217,0.9136721003771563
Q9_9,2.1439438267992976,0.9260228824851844,0.8575183788861696
Q10,2.855098675461461,0.47999995522573125,0.230399957016704
Q11_1,7.384275759348902,10.106233930048704,102.13596424886767
Q11_2,26.667322729932444,7.764004903032681,60.27977213431552
Q11_3,2.7787116335975317,7.002531745226487,49.035450842904716
Q12A_1,1.8552050640991542,1.0723561782318731,1.1499477729920686
Q12A_2,1.6321612851747433,0.9399037610892716,0.8834190801097586
Q12A_3,1.6624288525985425,0.9618438255737897,0.9251435447944226
Q12A_4,1.4866748231288898,0.8321691901915039,0.6925055611039834
Q12B_1,3.13883717219001,0.791922724919517,0.627141602243953
Q12B_2,1.9930847385499229,0.9522092932862655,0.9067025382207292
Q12B_3,2.5590722910793127,1.008610997618015,1.0172961445160076
Q12B_4,1.6946646098196712,0.9011867765757902,0.812137606275063
Q13A_1,1.5091228256822171,0.8587758151001088,0.7374959006008563
Q13A_2,1.6308314272035747,0.9655475347453939,0.9322820418529076
Q13A_3,1.4293313474120963,0.7739943977738852,0.5990673277853593
Q13A_4,1.443906590776105,0.7808618140325149,0.6097451726141498
Q13A_5,1.4233735837012607,0.7712922473360296,0.5948917308006632
Q13B_1,2.225597106229055,1.0515780565338904,1.1058164089835938
Q13B_2,3.2521942656524283,0.8161277620525252,0.6660645239928633
Q13B_3,1.9023352305973722,0.9407322990864255,0.884977258544432
Q13B_4,1.8943028884515134,0.9105121563135103,0.8290323867946784
Q13B_5,1.6291292090004788,0.8752827799928034,0.7661199449519303
Q14A_1,1.7236023192723018,0.9927080713417799,0.9854693149071163
Q14A_2,1.6702484174690142,0.9704082172390271,0.9416921080850269
Q14A_3,1.6012021916059365,0.9160522371455148,0.8391517011793024
Q14A_4,1.5436991329326029,0.8551652344341355,0.7313075781847899
Q14A_5,1.4276823235278473,0.7478335153572874,0.5592549666916382
Q14B_1,3.0955901909676045,0.7969309323547001,0.6350989109437317
Q14B_2,2.6924836427469545,1.0090617651942428,1.0182056459769213
Q14B_3,2.725198148837704,0.9806460989937459,0.9616667714716517
Q14B_4,2.0020745784350233,0.9045316546733647,0.8181775143061351
Q14B_5,1.8671205915208255,0.8694221342199783,0.755894847471622
Q15A_1,1.4840151071865524,0.8227362053180366,0.6768948635411224
Q15A_2,1.489174956114687,0.8204247797145096,0.6730968191696015
Q15B_1,2.021862865046013,0.9535187789079999,0.9091980617302031
Q15B_2,2.1831480397893506,0.9683655628656335,0.9377318633440752
Q16A_1,1.593967764242779,0.9003121948628682,0.8105620482187952
Q16A_2,1.5195489121761796,0.8292926202822124,0.6877262500545378
Q16B_1,2.5555614660354276,0.9723480439572437,0.9454607185874779
Q16B_2,2.1369221767115274,0.926685384162564,0.8587458012205187
Q17A_1,1.439331879355285,0.7856822250596313,0.6172965587746531
Q17A_2,1.3634235863609767,0.7286544359175908,0.5309372869823825
Q17A_3,1.3174105005585404,0.6672210042102563,0.44518386845934294
Q17A_4,1.342305441778818,0.6897710175944615,0.47578405671329893
Q17B_1,1.8234480557476462,0.8792464487415825,0.7730743176246843
Q17B_2,1.5968402574605032,0.8605476006919741,0.7405421730567133
Q17B_3,1.5438055215702964,0.8228244426729941,0.6770400634601235
Q17B_4,1.6084898132879408,0.8414524255519255,0.7080421844672187
Q18A_1,1.4650779296771106,0.8233139284757824,0.6778458248222258
Q18A_2,1.3905526889728177,0.7644058488795356,0.5843163018012433
Q18A_3,1.4638544603436352,0.8131188402076462,0.6611622483006278
Q18A_4,1.4800255332730465,0.8209660750836923,0.6739852964383228
Q18B_1,1.7386031171870844,0.9258220287676235,0.8571464289513983
Q18B_2,1.6287568487685515,0.8939183746357952,0.7990900605115018
Q18B_3,1.891004840683015,0.9189064183699851,0.8443890057215542
Q18B_4,1.9456886004574712,0.9305801793727109,0.8659794702413468
Q19_1,1.9035055056120007,0.8813594365921511,0.776794456470034
Q19_2,1.4934305016224267,0.7939789733254923,0.6304026100830028
Q19_3,1.7422735251875099,0.939476932513802,0.882616906725543
Q19_4,1.5342305441778818,0.7961461861103412,0.633848749658042
Q19_5,2.629714346507793,0.9865697850348432,0.9733199407436965
AI_인지,3.68046172668759,2.9123546023568743,8.481809329869268
AI_사용빈도,6.9182935262513965,6.346387712260049,40.276636994325344
AI_도움정도,19.18836108303633,5.960024343513506,35.521890175273604
